solution	objective	context	oxygen_pct	cohort	N_ref	current_N_min	current_N_max	expanded_N_min	expanded_N_max	current_misseg_nonviable_rate	expanded_misseg_nonviable_rate	current_boundary_dropped_rate	expanded_boundary_dropped_rate	upper_truncation_rate_removed	current_boundary_share	expanded_boundary_share	upper_truncation_share_of_current_cin_loss
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2016866209978	5N	110	22	154	22	308	0.125607727819179	0.125607727819179	4.07883538721713e-05	0	4.07883538721713e-05	0.000324622646685257	0	0.000324622646685257
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2191780821918	5N	110	22	154	22	308	0.124507594404722	0.124507594404722	4.07961655274911e-05	0	4.07961655274911e-05	0.000327552731437991	0	0.000327552731437991
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.22	5N	110	22	154	22	308	0.124456012225839	0.124456012225839	4.07965282523201e-05	0	4.07965282523201e-05	0.00032769135739778	0	0.00032769135739778
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2244500814915	5N	110	22	154	22	308	0.124176911358543	0.124176911358543	4.07984854543217e-05	0	4.07984854543217e-05	0.000328443387867637	0	0.000328443387867637
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.24	5N	110	22	154	22	308	0.123204055459146	0.123204055459146	4.08052368342899e-05	0	4.08052368342899e-05	0.000331090778178152	0	0.000331090778178152
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2420091324201	5N	110	22	154	22	308	0.123078634558681	0.123078634558681	4.08060993184517e-05	0	4.08060993184517e-05	0.000331435060948682	0	0.000331435060948682
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2472135419852	5N	110	22	154	22	308	0.122754046944192	0.122754046944192	4.08083231411096e-05	0	4.08083231411096e-05	0.000332329258031754	0	0.000332329258031754
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2542487156645	5N	110	22	154	22	308	0.122315972707085	0.122315972707085	4.08113057113012e-05	0	4.08113057113012e-05	0.000333543465044268	0	0.000333543465044268
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.26	5N	110	22	154	22	308	0.121958445493283	0.121958445493283	4.08137240682094e-05	0	4.08137240682094e-05	0.000334540753198318	0	0.000334540753198318
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2648401826484	5N	110	22	154	22	308	0.121657979157259	0.121657979157259	4.08157455663339e-05	0	4.08157455663339e-05	0.000335383317467725	0	0.000335383317467725
tsne_vi_seed138_C03Sc01_vt_seed10	19.9782357885732	invivo	3.2699770024789	5N	110	22	154	22	308	0.121339525309071	0.121339525309071	4.08178773215192e-05	0	4.08178773215192e-05	0.000336280786905001	0	0.000336280786905001
